btc,btc_1,btc_2,btc_3,eth,eth_1,eth_2,eth_3,ltc,ltc_1,ltc_2,ltc_3,xrp,xrp_1,xrp_2,xrp_3
1220.7,1212.5,1176.2,1177.3,44.21,46.85,50.65,48.5,9.71,11.69,11.05,11.61,0.03316,0.03455,0.03422,0.03348
1212.5,1176.2,1177.3,1177.0,46.85,50.65,48.5,49.71,11.69,11.05,11.61,11.69,0.03455,0.03422,0.03348,0.03381
1176.2,1177.3,1177.0,1176.8,50.65,48.5,49.71,49.58,11.05,11.61,11.69,11.7,0.03422,0.03348,0.03381,0.03306
1177.3,1177.0,1176.8,1194.0,48.5,49.71,49.58,49.52,11.61,11.69,11.7,11.15,0.03348,0.03381,0.03306,0.03333
1177.0,1176.8,1194.0,1206.1,49.71,49.58,49.52,52.42,11.69,11.7,11.15,10.95,0.03381,0.03306,0.03333,0.03281
1176.8,1194.0,1206.1,1215.2,49.58,49.52,52.42,49.66,11.7,11.15,10.95,10.21,0.03306,0.03333,0.03281,0.03035
1194.0,1206.1,1215.2,1238.1,49.52,52.42,49.66,51.96,11.15,10.95,10.21,10.99,0.03333,0.03281,0.03035,0.02999
1206.1,1215.2,1238.1,1249.6,52.42,49.66,51.96,51.37,10.95,10.21,10.99,12.12,0.03281,0.03035,0.02999,0.03355
1215.2,1238.1,1249.6,1240.9,49.66,51.96,51.37,52.15,10.21,10.99,12.12,14.35,0.03035,0.02999,0.03355,0.0316
1238.1,1249.6,1240.9,1249.1,51.96,51.37,52.15,53.33,10.99,12.12,14.35,15.38,0.02999,0.03355,0.0316,0.03141
1249.6,1240.9,1249.1,1248.2,51.37,52.15,53.33,53.54,12.12,14.35,15.38,15.07,0.03355,0.0316,0.03141,0.03151
1240.9,1249.1,1248.2,1264.3,52.15,53.33,53.54,53.9,14.35,15.38,15.07,15.53,0.0316,0.03141,0.03151,0.03224
1249.1,1248.2,1264.3,1286.6,53.33,53.54,53.9,57.31,15.38,15.07,15.53,15.09,0.03141,0.03151,0.03224,0.03275
1248.2,1264.3,1286.6,1332.9,53.54,53.9,57.31,68.0,15.07,15.53,15.09,14.98,0.03151,0.03224,0.03275,0.035230000000000004
1264.3,1286.6,1332.9,1329.6,53.9,57.31,68.0,76.0,15.53,15.09,14.98,14.75,0.03224,0.03275,0.035230000000000004,0.045
1286.6,1332.9,1329.6,1336.3,57.31,68.0,76.0,73.55,15.09,14.98,14.75,16.34,0.03275,0.035230000000000004,0.045,0.053829999999999996
1332.9,1329.6,1336.3,1351.9,68.0,76.0,73.55,83.51,14.98,14.75,16.34,16.2,0.035230000000000004,0.045,0.053829999999999996,0.05218
1329.6,1336.3,1351.9,1415.8,76.0,73.55,83.51,81.4,14.75,16.34,16.2,16.47,0.045,0.053829999999999996,0.05218,0.053829999999999996
1336.3,1351.9,1415.8,1445.9,73.55,83.51,81.4,82.01,16.34,16.2,16.47,16.24,0.053829999999999996,0.05218,0.053829999999999996,0.05382000000000001
1351.9,1415.8,1445.9,1485.6,83.51,81.4,82.01,85.79,16.2,16.47,16.24,22.01,0.05218,0.053829999999999996,0.05382000000000001,0.061079999999999995
1415.8,1445.9,1485.6,1516.8,81.4,82.01,85.79,99.2,16.47,16.24,22.01,24.16,0.053829999999999996,0.05382000000000001,0.061079999999999995,0.08
1445.9,1485.6,1516.8,1507.8,82.01,85.79,99.2,91.5,16.24,22.01,24.16,26.33,0.05382000000000001,0.061079999999999995,0.08,0.09139
1485.6,1516.8,1507.8,1545.3,85.79,99.2,91.5,96.65,22.01,24.16,26.33,28.43,0.061079999999999995,0.08,0.09139,0.1001
1516.8,1507.8,1545.3,1554.4,99.2,91.5,96.65,94.21,24.16,26.33,28.43,30.62,0.08,0.09139,0.1001,0.1391
1507.8,1545.3,1554.4,1664.5,91.5,96.65,94.21,88.97,26.33,28.43,30.62,28.86,0.09139,0.1001,0.1391,0.1917
1545.3,1554.4,1664.5,1697.5,96.65,94.21,88.97,88.94,28.43,30.62,28.86,33.2,0.1001,0.1391,0.1917,0.1564
1554.4,1664.5,1697.5,1752.3,94.21,88.97,88.94,88.33,30.62,28.86,33.2,32.85,0.1391,0.1917,0.1564,0.187
1664.5,1697.5,1752.3,1819.3,88.97,88.94,88.33,89.38,28.86,33.2,32.85,30.69,0.1917,0.1564,0.187,0.1837
1697.5,1752.3,1819.3,1686.4,88.94,88.33,89.38,86.99,33.2,32.85,30.69,27.21,0.1564,0.187,0.1837,0.2069
1752.3,1819.3,1686.4,1763.7,88.33,89.38,86.99,89.9,32.85,30.69,27.21,29.09,0.187,0.1837,0.2069,0.2102
1819.3,1686.4,1763.7,1772.6,89.38,86.99,89.9,90.37,30.69,27.21,29.09,28.9,0.1837,0.2069,0.2102,0.2171
1686.4,1763.7,1772.6,1708.9,86.99,89.9,90.37,92.56,27.21,29.09,28.9,25.61,0.2069,0.2102,0.2171,0.2631
