"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08, 2018","14.0190","14.6800","14.8690","13.5610","8.84M","-4.33%"
"Jun 07, 2018","14.6530","13.9270","14.6980","13.6740","6.28M","5.21%"
"Jun 06, 2018","13.9280","14.1840","14.3000","13.3500","5.91M","-1.77%"
"Jun 05, 2018","14.1790","13.4330","14.2610","12.8350","8.71M","5.55%"
"Jun 04, 2018","13.4340","14.5330","14.8520","13.2510","9.38M","-7.56%"
"Jun 03, 2018","14.5320","14.6190","15.4190","14.2600","9.98M","-0.60%"
"Jun 02, 2018","14.6200","12.2060","15.5400","12.0930","21.41M","19.78%"
"Jun 01, 2018","12.2060","12.2020","12.3420","11.8830","6.08M","0.03%"
"May 31, 2018","12.2020","11.8980","12.7000","11.8130","6.13M","2.78%"
"May 30, 2018","11.8720","12.1250","12.5870","11.7000","8.24M","-2.20%"
"May 29, 2018","12.1390","11.5020","12.4660","10.7140","15.91M","5.55%"
"May 28, 2018","11.5010","12.4400","12.9600","11.3060","11.65M","-7.54%"
"May 27, 2018","12.4390","12.2000","12.5310","11.9490","5.38M","1.88%"
"May 26, 2018","12.2100","12.1650","12.8250","11.8380","6.46M","0.30%"
"May 25, 2018","12.1730","12.7520","12.7800","11.5710","11.32M","-4.53%"
"May 24, 2018","12.7500","10.6670","12.8800","10.3384","17.33M","19.54%"
"May 23, 2018","10.6660","12.1300","12.3370","10.4830","18.29M","-11.92%"
"May 22, 2018","12.1090","13.4250","13.4530","11.9990","8.64M","-9.73%"
"May 21, 2018","13.4140","13.9470","14.1330","13.1040","5.16M","-3.82%"
"May 20, 2018","13.9470","13.1180","14.1840","12.9270","6.72M","6.30%"
"May 19, 2018","13.1210","12.9050","13.4150","12.4670","6.15M","1.63%"
"May 18, 2018","12.9100","12.2300","13.1700","11.9140","11.54M","5.82%"
"May 17, 2018","12.2000","12.6700","13.9040","12.0000","12.51M","-3.71%"
"May 16, 2018","12.6700","12.8020","13.0670","11.8370","11.11M","-1.17%"
"May 15, 2018","12.8200","13.7790","14.3800","12.4190","9.14M","-7.14%"
"May 14, 2018","13.8060","14.5700","14.7210","12.9750","12.34M","-5.30%"
"May 13, 2018","14.5790","13.9520","15.0830","13.4340","10.15M","4.49%"
"May 12, 2018","13.9520","14.8230","15.1170","12.1000","25.59M","-5.83%"
"May 11, 2018","14.8150","17.3290","17.6480","13.7540","29.47M","-14.61%"
"May 10, 2018","17.3500","17.7920","18.7050","17.3170","7.38M","-2.46%"
"May 09, 2018","17.7880","17.9660","18.0740","17.0000","6.36M","-1.00%"
"May 08, 2018","17.9670","17.7950","18.8690","17.6770","7.16M","0.94%"
"May 07, 2018","17.7990","17.3870","18.4000","16.6570","10.70M","2.37%"
"May 06, 2018","17.3870","17.7720","17.9150","16.5910","7.11M","-2.07%"
"May 05, 2018","17.7550","17.0530","18.6320","17.0120","6.74M","3.96%"
"May 04, 2018","17.0790","17.6660","18.0220","16.3020","8.03M","-3.37%"
"May 03, 2018","17.6750","19.2330","19.3500","16.8860","12.63M","-8.06%"
"May 02, 2018","19.2250","18.7300","19.6080","18.1900","12.35M","2.53%"
"May 01, 2018","18.7500","17.4490","19.0330","15.9210","18.58M","7.37%"
"Apr 30, 2018","17.4630","21.4470","21.6480","16.5670","24.78M","-18.38%"
"Apr 29, 2018","21.3960","18.7730","23.0000","18.7500","24.82M","13.97%"
"Apr 28, 2018","18.7730","16.6000","19.4890","16.4630","17.37M","13.04%"
"Apr 27, 2018","16.6070","15.4210","17.9000","14.8480","15.73M","7.55%"
"Apr 26, 2018","15.4410","14.3860","15.5590","13.8660","11.74M","6.69%"
"Apr 25, 2018","14.4730","15.1380","15.5000","13.3950","27.84M","-4.39%"
"Apr 24, 2018","15.1380","11.6170","15.8140","11.6050","31.03M","30.28%"
"Apr 23, 2018","11.6200","11.2920","11.6200","11.2240","7.76M","2.90%"
"Apr 22, 2018","11.2920","11.1310","11.8810","10.7500","10.75M","1.41%"
"Apr 21, 2018","11.1350","11.4630","11.6200","10.2150","12.16M","-2.58%"
"Apr 20, 2018","11.4300","9.4604","11.6700","9.4604","18.81M","21.32%"
"Apr 19, 2018","9.4210","9.0300","9.4367","8.9245","6.48M","4.33%"
"Apr 18, 2018","9.0300","8.4910","9.2261","8.4434","6.53M","6.35%"
"Apr 17, 2018","8.4910","8.1199","9.0706","8.0820","9.22M","4.43%"
"Apr 16, 2018","8.1310","8.5297","8.5297","7.8000","7.23M","-4.57%"
"Apr 15, 2018","8.5200","8.7064","8.8100","7.8075","9.18M","-2.26%"
"Apr 14, 2018","8.7167","8.8130","9.0729","8.1051","9.09M","-1.09%"
"Apr 13, 2018","8.8130","8.8231","9.5400","8.6040","14.08M","-0.10%"
"Apr 12, 2018","8.8221","8.5128","9.2770","7.8511","25.82M","3.56%"
"Apr 11, 2018","8.5189","5.9895","8.8830","5.9610","27.64M","42.23%"
"Apr 10, 2018","5.9895","5.8441","5.9895","5.7530","3.23M","2.49%"
"Apr 09, 2018","5.8441","5.9589","6.0644","5.7430","3.56M","-1.93%"
"Apr 08, 2018","5.9589","5.8828","6.0093","5.8240","1.82M","1.29%"
